Nombre_Producto;Precio_Dólares
EXTRA BOOSTER DAWN OF LIBERATOR [EX-11];4.99$
TIME STRANGER [BT-24];4.99$
OFFICIAL CARD SLEEVES 02;9.00$
Playmat & Card Set Paildramon & Dinobeemon;45.00$
AMETHYST MANDALA [ST-22];29.99$
HACKERS' SLUMBER [BT-23];4.99$
PREMIUM CARD COLLECTION DIGIMON TRAINING SET;15.00$
OFFICIAL CARD SLEEVES VER. ALPHAMON;9.00$
OFFICIAL CARD SLEEVES VER. OMNIMON;9.00$
EXTRA BOOSTER SINISTER ORDER [EX-10];4.99$
LIMITED CARD PACK ANOTHER KNIGHT;35.00$
CYBER EDEN [BT-22];4.99$
PREMIUM HEROINES SET VER. 2 [PB-23];45.00$
OFFICIAL CARD SLEEVES 01;8.00$
EXTRA BOOSTER VERSUS MONSTERS [EX-09];4.99$
DIGIMON LIBERATOR DEBUGGERS SET [PB-22];60.00$
WORLD CONVERGENCE [BT-21];4.99$
HERO OF HOPE [ST-21];15.99$
PROTECTOR OF LIGHT [ST-20];15.99$
TAMER’S EVOLUTION BOX -RISE OF DIGIMON- [PB-21];200.00$
LIMITED CARD PACK BILLION BULLET;35.00$
TAMER'S SELECTION BOX ver. CHAMPIONSHIP 2024;35.00$
DIGIMON ANIMATION SERIES 25TH ANNIVERSARY SET [PB20];70.00$
OFFICIAL SLEEVES 2025 Ver.1.0;8.00$
SPECIAL BOOSTER Ver.2.5 [BT19-20];4.99$
PREMIUM CARD COLLECTION MEMORY BOOST! SET;15.00$
OFFICIAL SLEEVES DIGIMON ANIMATION SERIES 25th;9.00$
OMNIMON BINDER SET [PB19];80$
EXTRA BOOSTER CHAIN OF LIBERATION [EX08];4.49$
SPECIAL BOOSTER Ver.2.0 [BT18-19];4.49$
SPECIAL LIMITED SET;7.50$
PREMIUM HEROINES SET [PB18];45.00$
EXTRA BOOSTER DIGIMON LIBERATOR [EX07];4.49$
FABLE WALTZ [ST19];15.99$
GUARDIAN VORTEX [ST18];15.99$
SECRET CRISIS [BT17];4.49$
OFFICIAL SLEEVES 2024 Ver.2.0;8.00$
DIGIMON ADVENTURE 02: THE BEGINNING SET [PB17];80.00$
THEME BOOSTER INFERNAL ASCENSION [EX06];4.49$
BEGINNING OBSERVER [BT16];4.49$
ADVENTURE BOX 2024 [AB03];24.99$
OFFICIAL SLEEVES 2024 Ver.1.0;8.00$
DOUBLE TYPHOON [ST17];29.99$
PREMIUM BINDER SET;100.00$
EXCEED APOCALYPSE [BT15];4.49$
DOUBLE PACK SET 02 [DP02];9.99$
OFFICIAL CARD SLEEVES GOLD;9.00$
OFFICIAL CARD SLEEVES SILVER;9.00$
OFFICIAL PLAYMAT -BANDAI CARD GAMES FEST 23-24 EDITION-;30.00$
THEME BOOSTER ANIMAL COLOSSEUM [EX05];4.49$
BLAST ACE [BT14];4.49$
GIFT BOX 2023 [GB03];19.99$
DOUBLE PACK SET [DP01];9.99$
WOLF OF FRIENDSHIP [ST16];15.99$
DRAGON OF COURAGE [ST15];15.99$
ADVENTURE BOX 2;19.99$
RESURGENCE BOOSTER [RB01];4.99$
OFFICIAL SLEEVES 2023;8.00$
TAMER GOODS SET DIABOROMON [PB16];50.00USD$
VERSUS ROYAL KNIGHTS [BT13];4.49$
THEME BOOSTER ALTERNATIVE BEING [EX04];4.19$
TAMER GOODS SET ANGEWOMON & LADYDEVIMON [PB14];40.00$
DECK BOX SET / BEELZEMON;40.00$
ROYAL KNIGHTS BINDER SET [PB13];50.00$
ACROSS TIME [BT12];4.19$
BEELZEMON [ST14];29.99$
OFFICIAL SLEEVES 2022 Ver.2.0;8.00$
2nd ANNIVERSARY SET [PB-12E];100.00$
DIMENSIONAL PHASE [BT11];4.19$
TAMER'S SET Vol.5 [PB-11];35.00$
THEME BOOSTER DRACONIC ROAR [EX-03];4.19$
GIFT BOX 2022;29.99$
XROS ENCOUNTER [BT10];4.19$
RAGNALOARDMON [ST-13];15.99$
JESMON [ST-12];15.99$
PREMIUM DECK SET [PD-01];59.99$
TAMER'S SET Vol.4 [PB-10];35.00$
PLAYMAT AND CARD SET 2 FLORAL FUN [PB-09];35.00$
X RECORD [BT09];4.19$
ADVENTURE BOX;19.99$
OFFICIAL SLEEVES 2022;6.50$
THEME BOOSTER DIGITAL HAZARD [EX-02];4.19$
PLAYMAT AND CARD SET 1 DIGIMON TAMERS [PB-08];35.00$
TAMER'S SET EX [PB-07];20.00$
NEW AWAKENING [BT08];4.19$
PARALLEL WORLD TACTICIAN [ST-10];12.99$
ULTIMATE ANCIENT DRAGON [ST-9];12.99$
TAMER'S EVOLUTION BOX 2 [PB-06];70.00$
OFFICIAL SLEEVES 2021 Ver.2.0;6.50$
TAMER'S SET Vol.3 [PB-05];35.00$
NEXT ADVENTURE [BT07];3.99$
THEME BOOSTER CLASSIC COLLECTION [EX01];3.99$
GIFT BOX;24.99$
TAMER'S SET Vol.2 [PB-04];35.00$
DOUBLE DIAMOND [BT06];3.99$
ULFORCEVEEDRAMON [ST-8];12.99$
GALLANTMON [ST-7];12.99$
OFFICIAL WARGREYMON PLAYMAT [PB-03];33.99$
BATTLE OF OMNI [BT05];3.99$
GREAT LEGEND [BT04];3.99$
VENOMOUS VIOLET [ST-6];9.99$
MACHINE BLACK [ST-5];9.99$
GIGA GREEN [ST-4];9.99$
OFFICIAL SLEEVES 2021;6.50$
PREMIUM PACK SET 01;15.96$
TAMER'S SET [PB-02];35.00$
RELEASE SPECIAL BOOSTER Ver.1.5 [BT01-03];3.99$
RELEASE SPECIAL BOOSTER Ver.1.0 [BT01-03];3.99$
TAMER'S EVOLUTION BOX [PB-01];70.00$
HEAVEN’S YELLOW [ST-3];9.99$
COCYTUS BLUE [ST-2];9.99$
GAIA RED [ST-1];9.99$
OFFICIAL SLEEVES 2020;6.50$
